product_key,variant_key,sku,options_json,price,image_key
chao-sa-bgkq-0259,chao-sa-bgkq-0259-default,BGKQ-0259,"{""sell_unit"": ""bịch""}",30000,bgkq-0259
tui-tien-hai-san-bgkq-0260,tui-tien-hai-san-bgkq-0260-default,BGKQ-0260,"{""sell_unit"": ""vỉ""}",44000,bgkq-0260
banh-sua-tuoi-bgkq-0261,banh-sua-tuoi-bgkq-0261-default,BGKQ-0261,"{""sell_unit"": ""hộp""}",28000,bgkq-0261
banh-gao-thoi-bgkq-0262,banh-gao-thoi-bgkq-0262-default,BGKQ-0262,"{""sell_unit"": ""bịch""}",55000,bgkq-0262
sot-banh-gao-saijang-bgkq-0263,sot-banh-gao-saijang-bgkq-0263-default,BGKQ-0263,"{""sell_unit"": ""túi""}",53000,bgkq-0263
sot-banh-gao-ky-bgkq-0264,sot-banh-gao-ky-bgkq-0264-default,BGKQ-0264,"{""sell_unit"": ""ky""}",40000,bgkq-0264
hanh-phi-anh-tu-bgkq-0265,hanh-phi-anh-tu-bgkq-0265-default,BGKQ-0265,"{""sell_unit"": ""kg""}",75000,bgkq-0265
hanh-phi-thuong-bgkq-0266,hanh-phi-thuong-bgkq-0266-default,BGKQ-0266,"{""sell_unit"": ""kg""}",45000,bgkq-0266
kho-bo-bgkq-0267,kho-bo-bgkq-0267-default,BGKQ-0267,"{""sell_unit"": ""kg""}",112000,bgkq-0267
kho-ga-bgkq-0268,kho-ga-bgkq-0268-default,BGKQ-0268,"{""sell_unit"": ""kg""}",130000,bgkq-0268
banh-tran-nuong-trang-vang-bgkq-0269,banh-tran-nuong-trang-vang-bgkq-0269-default,BGKQ-0269,"{""color"": ""trang-vang"", ""sell_unit"": ""kg""}",45000,bgkq-0269
banh-trang-cuon-do-bgkq-0270,banh-trang-cuon-do-bgkq-0270-default,BGKQ-0270,"{""sell_unit"": ""kg""}",45000,bgkq-0270
banh-trang-cat-bgkq-0271,banh-trang-cat-bgkq-0271-default,BGKQ-0271,"{""sell_unit"": ""5 kg""}",110000,bgkq-0271
nuoc-bo-1-lit-bgkq-0272,nuoc-bo-1-lit-bgkq-0272-default,BGKQ-0272,"{""sell_unit"": ""chai"", ""size"": ""1L""}",37000,bgkq-0272
nuoc-bo-bgkq-0273,nuoc-bo-bgkq-0273-default,BGKQ-0273,"{""sell_unit"": ""bình"", ""size"": ""khac""}",145000,bgkq-0273
bo-trang-vang-bgkq-0274,bo-trang-vang-bgkq-0274-default,BGKQ-0274,"{""color"": ""trang-vang"", ""sell_unit"": ""bịch""}",35000,bgkq-0274
kho-muc-bgkq-0275,kho-muc-bgkq-0275-default,BGKQ-0275,"{""sell_unit"": ""kg""}",225000,bgkq-0275
ruoc-bgkq-0276,ruoc-bgkq-0276-default,BGKQ-0276,"{""sell_unit"": ""bịch""}",35000,bgkq-0276
